,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
597,14th match,"Eden Gardens, Kolkata",Evening,Sunrisers Hyderabad,Field,Kolkata Knight Riders,172,Sunrisers Hyderabad,155,Kolkata Knight Riders,17 runs,2017,Eden Gardens, Kolkata
598,15th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,188,Kings XI Punjab,137,Delhi Daredevils,51 runs,2017,Feroz Shah Kotla, Delhi
599,16th match,"Wankhede Stadium, Mumbai",Evening,Mumbai Indians,Field,Gujarat Lions,176,Mumbai Indians,177,Mumbai Indians,6 wickets ,2017,Wankhede Stadium, Mumbai
600,17th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Pune Warriors,161,RCB,134,Pune Warriors,27 runs,2017,M Chinnaswamy Stadium, Bangalore
601,18th match,"Feroz Shah Kotla, Delhi",Evening,Delhi Daredevils,Bat,Delhi Daredevils,168,Kolkata Knight Riders,169,Kolkata Knight Riders,4 wickets ,2017,Feroz Shah Kotla, Delhi
602,19th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Kings XI Punjab,Field,Sunrisers Hyderabad,159,Kings XI Punjab,154,Sunrisers Hyderabad,5 runs,2017,Rajiv Gandhi International Stadium, Uppal
603,20th match,"Saurashtra Cricket Association Stadium, Rajkot",Night,Gujarat Lions,Field,RCB,213,Gujarat Lions,192,Royal Challengers Bangalore,21 runs,2017,Saurashtra Cricket Association Stadium, Rajkot
604,21st match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,191,Delhi Daredevils,176,Sunrisers Hyderabad,15 runs,2017,Rajiv Gandhi International Stadium, Uppal
605,22nd match,"Holkar Cricket Stadium, Indore",Night,Mumbai Indians,Field,Kings XI Punjab,198,Mumbai Indians,199,Mumbai Indians,8 wickets ,2017,Holkar Cricket Stadium, Indore
606,23rd match,"Eden Gardens, Kolkata",Night,Gujarat Lions,Field,Kolkata Knight Riders,187,Gujarat Lions,188,Gujarat Lions,4 wickets ,2017,Eden Gardens, Kolkata
607,24th match,"Maharashtra Cricket Association Stadium, Pune",Evening,Pune Warriors,Field,Sunrisers Hyderabad,176,Pune Warriors,179,Pune Warriors,6 wickets ,2017,Maharashtra Cricket Association Stadium, Pune
608,25th match,"Wankhede Stadium, Mumbai",Night,Delhi Daredevils,Field,Mumbai Indians,142,Delhi Daredevils,128,Mumbai Indians,14 runs,2017,Wankhede Stadium, Mumbai
609,26th match,"Saurashtra Cricket Association Stadium, Rajkot",Evening,Gujarat Lions,Field,Kings XI Punjab,188,Gujarat Lions,162,Kings XI Punjab,26 runs,2017,Saurashtra Cricket Association Stadium, Rajkot
